ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
IDR,IDAHO STRATEGIC RESOURCES INC,1030192,645827205 645827106,NYSEMKT,False,Domestic Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Idaho; U.S.A,f553fc83eb39ed53ed12bda2b93afaba
ITRG,INTEGRA RESOURCES CORP,1722387,45826T301 45826T509 45826T103,NYSEMKT,False,ADR Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,d8020d25d6b08cc2c979f512e0bb948a
KGC,KINROSS GOLD CORP,701818,496902404 496902107 496902206,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Ontario; Canada,45d81b13df9352c85fb34aaad6c879ca
LODE,COMSTOCK INC,1120970,205750300 205750102 205750201 381536101,NYSEMKT,False,Domestic Common Stock,Real Estate,Real Estate Services,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Nevada; U.S.A,0ac8eeef1dbedb20a218800d671017d4
MAG,MAG SILVER CORP,1230992,55903Q104,NYSEMKT,False,Canadian Common Stock,Basic Materials,Silver,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,3741fc6f87d4bac34e18f5d76580d399
MTA,METALLA ROYALTY & STREAMING LTD,1722606,59124U605,NYSEMKT,False,Canadian Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,ea8ddff58561be933a7839cebb55e8ad
MUX,MCEWEN MINING INC,314203,58039P107 58039P305 912023207,NYSE,False,Domestic Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Ontario; Canada,9685254663982cf87238d65aa3ff5951
NAK,NORTHERN DYNASTY MINERALS LTD,1164771,66510M204,NYSEMKT,False,ADR Common Stock,Basic Materials,Other Industrial Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,906b9acadea658799511962517608705
NEM,NEWMONT CORP,1164727,651639106,NYSE,False,Domestic Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Colorado; U.S.A,7d7deab9bf3e7dbad956c23b446bed00
NEWP,NEW PACIFIC METALS CORP,1369085,64782A107,NYSEMKT,False,Canadian Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,51fd272e536866b0789907959e032736
NFGC,NEW FOUND GOLD CORP,1840616,64440N103,NYSEMKT,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,8886db7af5149eabd9d7fbc9600c0dfc
NG,NOVAGOLD RESOURCES INC,1173420,66987E206,NYSEMKT,False,Domestic Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Utah; U.S.A,5f23d1949f61661d54dfbc73abf87264
ODV,OSISKO DEVELOPMENT CORP,1431852,68828E809 68828E106,NYSE,False,Canadian Common Stock Primary Class,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Quebec; Canada,35103a6bc2a6f39b317b70ac9a767b47
OR,OSISKO GOLD ROYALTIES LTD,1627272,68827L101,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Quebec; Canada,3fcb770a392f6748c1caa68b8f1ea163
ORLA,ORLA MINING LTD,1680056,68634K106,NYSEMKT,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,824d16685cbc2fdb67965d7a51e89647
PAAS,PAN AMERICAN SILVER CORP,771992,697900108,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,fd294997b8d6969bc057bab3f7e8e82c
PLG,PLATINUM GROUP METALS LTD,1095052,72765Q882 72765Q205 72765Q601,NYSEMKT,False,Canadian Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,cbf6365ad902f203ea13bb3e482eaf4d
SA,SEABRIDGE GOLD INC,1231346,811916105,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Ontario; Canada,641317d444bda93d3556fd30ac9ab041
SAND,SANDSTORM GOLD LTD,1434614,80013R206,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,80471bd70916d3b48f3196ffd3d40f66
SBSW,SIBANYE STILLWATER LTD,1786909,82575P107 825724206,NYSE,False,ADR Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,South Africa,6357df373fbded206ce6b0e97221601d
SILV,SILVERCREST METALS INC,1659520,828363101,NYSEMKT,False,Canadian Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,e08fd381966aeb8cc6600bc01d72e7c5
SKE,SKEENA RESOURCES LTD,1713748,83056P715 83056P103,NYSE,False,Canadian Common Stock,Basic Materials,Other Industrial Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,410882157aeea816821d444962f63678
SLSR,SOLARIS RESOURCES INC,2019103,83419D201,NYSEMKT,False,Canadian Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Canada (Federal Level),f3728af508d71e6a25583276240ce081
SVM,SILVERCORP METALS INC,1340677,82835P103,NYSEMKT,False,Canadian Common Stock,Basic Materials,Silver,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,086279e70e01d532605994e8f4391268
TGB,TASEKO MINES LTD,878518,876511106,NYSEMKT,False,Canadian Common Stock,Basic Materials,Copper,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,0ce83401ceda1c4cf962e88e31a0403d
