,mkt_cap,stock_info
BSFC,61085600.0,"{'name': 'BLUE STAR FOODS CORP', 'ticker': 'BSFC', 'cik': '1730773', 'cusip': '09606H101 09606H200', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2092', 'sicSector': 'Manufacturing', 'sicIndustry': 'Prepared Fresh Or Frozen Fish & Seafoods', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Florida; U.S.A', 'id': '7a5adfb4e41593d5eef8e3eec978d431'}"
SENEB,57338628.26068878,"{'name': 'SENECA FOODS CORP', 'ticker': 'SENEB', 'cik': '88948', 'cusip': '817070105', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Secondary Class', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2033', 'sicSector': 'Manufacturing', 'sicIndustry': 'Canned Fruits Veg Preserves Jams & Jellies', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'New York; U.S.A', 'id': 'fc49af9c93234d45d0a6db6cf00162a8'}"
SOWG,35498400.0,"{'name': 'SOW GOOD INC', 'ticker': 'SOWG', 'cik': '1490161', 'cusip': '84612H106 09216Q103 09216Q202 03665F106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2000', 'sicSector': 'Manufacturing', 'sicIndustry': 'Food And Kindred Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '5a9bbbb8adfe6347d5bd53dd516d86aa'}"
RMCF,34258878.13373566,"{'name': 'ROCKY MOUNTAIN CHOCOLATE FACTORY INC', 'ticker': 'RMCF', 'cik': '1616262', 'cusip': '77467X101 774678403', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Confectioners', 'sic': '2060', 'sicSector': 'Manufacturing', 'sicIndustry': 'Sugar & Confectionery Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Colorado; U.S.A', 'id': '2ab7228d84be62918843c6375eea98d8'}"
FTFT,25981019.047021866,"{'name': 'FUTURE FINTECH GROUP INC', 'ticker': 'FTFT', 'cik': '1066923', 'cusip': '36117V105 83086T208 36117V204 83086T307', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Technology', 'industry': 'Software - Application', 'sic': '2030', 'sicSector': 'Manufacturing', 'sicIndustry': 'Canned Frozen & Preservd Fruit Veg & Food Specialties', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'China', 'id': '60fe1e4897c25382cd6e1d8eb104792e'}"
SNAX,25962831.58138275,"{'name': 'STRYVE FOODS INC', 'ticker': 'SNAX', 'cik': '1691936', 'cusip': '863685103 G04415108 863685202', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2000', 'sicSector': 'Manufacturing', 'sicIndustry': 'Food And Kindred Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Texas; U.S.A', 'id': '801d40740ab92e35c8fa86c71f5b21db'}"
BRFH,22815844.29810047,"{'name': 'BARFRESH FOOD GROUP INC', 'ticker': 'BRFH', 'cik': '1487197', 'cusip': '067532200 067532101', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Beverages - Non-Alcoholic', 'sic': '2030', 'sicSector': 'Manufacturing', 'sicIndustry': 'Canned Frozen & Preservd Fruit Veg & Food Specialties', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'California; U.S.A', 'id': 'e984ee531acf1b36f75eba5e4342773a'}"
STKH,22701496.52168274,"{'name': 'STEAKHOLDER FOODS LTD', 'ticker': 'STKH', 'cik': '1828098', 'cusip': '583435102 583435201', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2000', 'sicSector': 'Manufacturing', 'sicIndustry': 'Food And Kindred Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Israel', 'id': '76d9489df09aaad00ffd62c83790d0f1'}"
FAMI,20637071.019990444,"{'name': 'FARMMI INC', 'ticker': 'FAMI', 'cik': '1701261', 'cusip': 'G33277107 G33277123 G33277131', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2033', 'sicSector': 'Manufacturing', 'sicIndustry': 'Canned Fruits Veg Preserves Jams & Jellies', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'China', 'id': 'aa16886b56423e91f6eed362577772a7'}"
BOF,15354376.453812122,"{'name': 'BRANCHOUT FOOD INC', 'ticker': 'BOF', 'cik': '1962481', 'cusip': '105230106', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2000', 'sicSector': 'Manufacturing', 'sicIndustry': 'Food And Kindred Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'Oregon; U.S.A', 'id': '7f9dc4d80d24ce4c676235e1072998c1'}"
CHSN,12700001.567788124,"{'name': 'CHANSON INTERNATIONAL HOLDING', 'ticker': 'CHSN', 'cik': '1825349', 'cusip': 'G2104U107', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Cyclical', 'industry': 'Restaurants', 'sic': '2000', 'sicSector': 'Manufacturing', 'sicIndustry': 'Food And Kindred Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'China', 'id': '9736af66e620f3a41007249705546830'}"
PETZ,11768561.852324009,"{'name': 'TDH HOLDINGS INC', 'ticker': 'PETZ', 'cik': '1684425', 'cusip': 'G87084102 G87084110', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'ADR Common Stock', 'sector': 'Consumer Defensive', 'industry': 'Packaged Foods', 'sic': '2000', 'sicSector': 'Manufacturing', 'sicIndustry': 'Food And Kindred Products', 'famaSector': '', 'famaIndustry': 'Food Products', 'currency': 'USD', 'location': 'China', 'id': '9ab5e3d78624be5aeb17154dd71ac44b'}"
